Offset	Contents	Size
0x00	Index number of the Species	1 byte
0x01	Current HP	2 bytes
0x03	Level	1 byte
0x04	Status condition	1 byte
0x05	Type 1	1 byte
0x06	Type 2	1 byte
0x07	Catch rate/Held item	1 byte
0x08	Index number of move 1	1 byte
0x09	Index number of move 2	1 byte
0x0A	Index number of move 3	1 byte
0x0B	Index number of move 4	1 byte
0x0C	Original Trainer ID number	2 bytes
0x0E	Experience points	3 bytes
0x11	HP EV data	2 bytes
0x13	Attack EV data	2 bytes
0x15	Defense EV data	2 bytes
0x17	Speed EV data	2 bytes
0x19	Special EV data	2 bytes
0x1B	IV data	2 bytes
0x1D	Move 1's PP values	1 byte
0x1E	Move 2's PP values	1 byte
0x1F	Move 3's PP values	1 byte
0x20	Move 4's PP values	1 byte
0x21	Level	1 byte
0x22	Maximum HP	2 bytes
0x24	Attack	2 bytes
0x26	Defense	2 bytes
0x28	Speed	2 bytes
0x2A	Special	2 bytes
